% Model,Dz11_comsol.mph
% Version,COMSOL 5.2.1.262
% Date,"May 5 2018, 09:18"
% Dimension,2
% Nodes,557
% Expressions,2
% Description,Arrow line
% x,y,VectorX,VectorY
-7.000000000000001,8.300000000000056,4.787250773574669E-8,0.011787502634233536
-7.000000000000001,8.500000000000057,3.748294385985673E-8,0.010716765994565797
-7.000000000000001,8.70000000000006,2.8245922933933795E-8,0.009644369657940284
-7.000000000000002,8.90000000000006,2.016561939655048E-8,0.008571196888753204
-7.000000000000001,9.100000000000062,1.3378351759740781E-8,0.007497897686114182
-7.000000000000001,9.300000000000063,8.379041460671033E-9,0.006424918196059292
-7.000000000000001,9.500000000000064,5.828548310660153E-9,0.005352529133034037
-7.000000000000001,9.700000000000063,1.7823360565216717E-9,0.00428085260976172
-7.000000000000001,9.900000000000064,-7.071198737662598E-9,0.0032098897314464217
-7.000000000000001,10.100000000000067,-7.319139072592406E-9,0.0021395462747441124
-7.000000000000001,10.300000000000068,-1.461766885313409E-8,0.0010696550309108434
-7,10.5,-3.317788710432978E-9,4.1941486992577944E-9
-6.80000000000018,-7.500000000000001,0.0017615501210099457,4.921871692431523E-7
-6.600000000000177,-7.500000000000001,0.0035309000638153016,3.4279589744556915E-7
-6.400000000000176,-7.500000000000001,0.005315885754961997,4.930724903928763E-7
-6.200000000000173,-7.500000000000001,0.007124182332729693,3.9192945333610396E-7
-6.000000000000171,-7.500000000000001,0.008963367124395575,3.283610672255577E-7
-5.800000000000169,-7.500000000000001,0.01084079529421916,3.107726582740611E-7
-5.600000000000166,-7.500000000000001,0.012763594169036567,2.835189185645959E-7
-5.400000000000164,-7.500000000000001,0.014738571686952353,2.490103234720209E-7
-5.200000000000161,-7.5,0.016772138620496084,2.164768977408471E-7
-5.000000000000158,-7.500000000000001,0.01887023642580126,1.8744889018762478E-7
-4.800000000000157,-7.500000000000001,0.021038231128362346,1.601476498080956E-7
-4.600000000000154,-7.500000000000001,0.023280813632420332,1.282182804374088E-7
-4.400000000000151,-7.500000000000001,0.02560187738346215,9.126922773106116E-8
-4.200000000000149,-7.500000000000001,0.02800438980065311,4.892992144789332E-8
-4.0000000000001465,-7.500000000000002,0.030490252055410484,8.939915474570624E-10
-3.8000000000001446,-7.500000000000001,0.03306014965137816,-5.305054440185585E-8
-3.600000000000142,-7.500000000000001,0.035713395949733925,-1.1298658897374025E-7
-3.4000000000001394,-7.500000000000001,0.0384477716273704,-1.7883320246880885E-7
-3.2000000000001374,-7.500000000000001,0.04125936401751122,-2.5030644934531665E-7
-3.000000000000135,-7.5,0.04414241126571996,-3.268823638435947E-7
-2.800000000000132,-7.500000000000002,0.04708915726302147,-4.077613935393742E-7
-2.60000000000013,-7.500000000000001,0.05008972430864617,-4.918385476671006E-7
-2.4000000000001274,-7.500000000000001,0.05313201133790518,-5.776814226976512E-7
-2.2000000000001254,-7.500000000000001,0.0562016262594877,-6.63521153576596E-7
-2.000000000000123,-7.500000000000001,0.05928186137251371,-7.472589018675535E-7
-1.8000000000001202,-7.5,0.06235372087746059,-8.264926112389048E-7
-1.6000000000001182,-7.500000000000002,0.06539600906128198,-8.985655002291537E-7
-1.4000000000001158,-7.500000000000001,0.06838548673340135,-9.606401887296556E-7
-1.200000000000113,-7.500000000000001,0.07129710182447828,-1.0097984812773575E-6
-1.000000000000111,-7.500000000000001,0.07410429773408561,-1.0431649446474012E-6
-0.8000000000001082,-7.5,0.07677939999722339,-1.0580513336577724E-6
-0.6000000000001053,-7.500000000000002,0.07929407822143006,-1.0521145643593854E-6
-0.4000000000001034,-7.500000000000002,0.08161987616218566,-1.0235200171848646E-6
-0.20000000000010143,-7.500000000000001,0.0837287984375984,-9.710994568479234E-7
-9.947598300641403E-14,-7.500000000000001,0.0855939380369578,-8.944897835760912E-7
0.19999999999990337,-7.5,0.08719012475577069,-7.942395647830834E-7
0.3999999999999062,-7.5,0.08849457135399656,-6.718695253482565E-7
0.5999999999999082,-7.500000000000002,0.08948749195780248,-5.298778917861569E-7
0.799999999999911,-7.500000000000001,0.09015266630011677,-3.716827885469342E-7
0.9999999999999138,-7.500000000000001,0.09047792410314563,-2.0149967649985E-7
1.1999999999999158,-7.500000000000001,0.09045552632535198,-2.415844502223763E-8
1.3999999999999186,-7.5,0.0900824241326097,1.551291184398451E-7
1.5999999999999202,-7.500000000000002,0.08936038207419687,3.310360421338032E-7
1.7999999999999226,-7.500000000000002,0.08829595872212911,4.983995527396701E-7
1.9999999999999254,-7.500000000000001,0.08690034541750413,6.524896125625901E-7
2.199999999999928,-7.500000000000001,0.08518907121301364,7.892460045511029E-7
2.39999999999993,-7.500000000000001,0.08318158896484637,9.054636240790613E-7
2.5999999999999326,-7.500000000000001,0.08090076325014478,9.989133742394074E-7
2.7999999999999354,-7.500000000000001,0.07837228492676425,1.0683902464947437E-6
2.999999999999937,-7.500000000000001,0.07562403944127083,1.1136922282162232E-6
3.1999999999999393,-7.500000000000001,0.0726854563381297,1.1355348537023247E-6
3.3999999999999417,-7.500000000000002,0.0695868659665692,1.1354181443934408E-6
3.599999999999943,-7.500000000000001,0.06635888639735994,1.1154586907480277E-6
3.799999999999943,-7.500000000000001,0.0630318594643374,1.0782077675131063E-6
3.9999999999999454,-7.5,0.05963535009931998,1.0264693459660634E-6
4.199999999999946,-7.500000000000001,0.05619771819285719,9.631338153681668E-7
4.399999999999948,-7.500000000000001,0.05274576749744538,8.910357101044042E-7
4.599999999999948,-7.5,0.04930447190994615,8.128410859953306E-7
4.79999999999995,-7.500000000000001,0.04589677602528499,7.309669998178947E-7
4.999999999999952,-7.500000000000002,0.042543464273436464,6.475324907384561E-7
5.199999999999953,-7.500000000000002,0.039263091199846605,5.64335721264797E-7
5.399999999999954,-7.5,0.03607196449271476,4.828534123646477E-7
5.599999999999955,-7.5,0.032984172061734936,4.042566983386564E-7
